Num_Acc,id_vehicule,num_veh,senc,catv,obs,obsm,choc,manv,motor,occutc
202400000001,155 781 758,A01,1.0,7.0,0,2,1,13,1.0,
202400000002,155 781 757,A01,1.0,10.0,0,1,3,15,1.0,
202400000003,155 781 756,A01,3.0,3.0,9,1,1,1,1.0,
202400000004,155 781 754,B01,3.0,34.0,0,2,0,0,1.0,
202400000005,155 781 750,A01,3.0,7.0,0,2,1,9,1.0,
202400000006,155 781 748,A01,3.0,7.0,0,2,1,1,1.0,
202400000007,155 781 746,A01,2.0,7.0,0,2,2,15,1.0,
202400000008,155 781 742,A01,1.0,7.0,0,2,1,2,1.0,
202400000009,155 781 741,A01,1.0,7.0,6,5,2,14,1.0,
202400000010,155 781 740,A01,1.0,33.0,12,0,8,18,1.0,
202400000011,155 781 738,B01,2.0,7.0,0,2,4,1,1.0,
202400000012,155 781 737,A01,1.0,33.0,0,0,7,1,1.0,
202400000013,155 781 736,A01,2.0,2.0,0,1,2,1,1.0,
202400000014,155 781 734,Z01,2.0,1.0,0,2,2,17,5.0,
202400000015,155 781 732,A01,3.0,80.0,0,2,1,1,3.0,
202400000016,155 781 730,B01,2.0,50.0,1,0,2,22,3.0,
202400000017,155 781 729,A01,1.0,7.0,0,1,4,26,1.0,
202400000018,155 781 727,A01,2.0,7.0,0,2,3,9,1.0,
202400000019,155 781 726,A01,2.0,7.0,0,1,1,16,2.0,
202400000020,155 781 724,A01,0.0,2.0,0,2,1,17,1.0,
202400000021,155 781 723,A01,0.0,50.0,0,1,1,26,3.0,
202400000022,155 781 722,A01,1.0,7.0,2,0,1,1,1.0,
202400000023,155 781 720,A01,0.0,7.0,0,2,0,0,0.0,
202400000024,155 781 719,A01,3.0,2.0,8,0,1,14,1.0,
202400000025,155 781 715,D01,1.0,7.0,0,2,1,2,0.0,
202400000026,155 781 714,A01,3.0,50.0,0,1,1,1,3.0,
202400000027,155 781 713,A01,1.0,1.0,0,1,7,12,5.0,
202400000028,155 781 712,A01,1.0,7.0,0,1,1,0,1.0,
202400000029,155 781 708,A01,2.0,10.0,0,1,8,15,1.0,
202400000030,155 781 704,A01,1.0,10.0,0,2,1,16,1.0,
202400000031,155 781 702,A01,3.0,7.0,0,2,8,10,1.0,
